date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:58:37	111/111	---MCZ	200	added ('OK')	text/plain	date:Fri,%2029%20Dec%202023%2010:58:37%20GMT	https://spacexsol.xyz/robots.txt		(from )
02:58:37	78701/78701	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Dec%202023%2010:58:37%20GMT	https://spacexsol.xyz/	C:/My%20Web%20Sites/https___spacexsol.xyz/spacexsol.xyz/index.html	(from )
02:58:40	1/1	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2029%20Dec%202023%2010:58:40%20GMT	https://spacexsol.xyz/wp-admin/admin-ajax.php	C:/My%20Web%20Sites/https___spacexsol.xyz/spacexsol.xyz/wp-admin/admin-ajax.php	(from https://spacexsol.xyz/)
02:58:42	0/0	---M--	200	added ('OK')	text/html	date:Fri,%2029%20Dec%202023%2010:58:41%20GMT	https://spacexsol.xyz/wp-admin/admin-post.php	C:/My%20Web%20Sites/https___spacexsol.xyz/spacexsol.xyz/wp-admin/admin-post.php	(from https://spacexsol.xyz/)
02:58:44	24/24	---M--	301	error ('Moved%20Permanently')	text/plain	date:Fri,%2029%20Dec%202023%2010:58:44%20GMT	http://spacexsol.xyz/wp-content/uploads/theplus-addons/theplus-post-2.min.css?ver=1703639133	C:/My%20Web%20Sites/https___spacexsol.xyz/spacexsol.xyz/wp-content/uploads/theplus-addons/theplus-post-2.min.3874c.delayed	(from https://spacexsol.xyz/)
02:58:44	58957/58957	---MCZ	200	added ('OK')	text/css	etag:W/%2265293bb3-e64d%22	https://spacexsol.xyz/wp-content/plugins/layout-grid/style.css?ver=1697201075	C:/My%20Web%20Sites/https___spacexsol.xyz/spacexsol.xyz/wp-content/plugins/layout-grid/style0b04.css	(from https://spacexsol.xyz/)
02:58:44	1007/1007	---M--	200	added ('OK')	application/rss+xml	etag:%22bd2af374adc19855098b2854d8644b41%22	https://spacexsol.xyz/feed/	C:/My%20Web%20Sites/https___spacexsol.xyz/spacexsol.xyz/feed/index.html	(from https://spacexsol.xyz/)
02:58:45	680/680	---M--	200	added ('OK')	application/rss+xml	etag:%22bd2af374adc19855098b2854d8644b41%22	https://spacexsol.xyz/comments/feed/	C:/My%20Web%20Sites/https___spacexsol.xyz/spacexsol.xyz/comments/feed/index.html	(from https://spacexsol.xyz/)
02:58:47	24/24	---M--	301	error ('Moved%20Permanently')	text/plain	date:Fri,%2029%20Dec%202023%2010:58:47%20GMT	http://spacexsol.xyz/wp-content/plugins/theplus_elementor_addon/assets/css/main/pre-loader/plus-pre-loader.min.css?ver=5.1.0	C:/My%20Web%20Sites/https___spacexsol.xyz/spacexsol.xyz/wp-content/plugins/theplus_elementor_addon/assets/css/main/pre-loader/plus-pre-loader.min0e7d.css	(from https://spacexsol.xyz/)
02:58:47	23597/23597	---MCZ	200	added ('OK')	text/css	etag:W/%22658b785d-5c2d%22	https://spacexsol.xyz/wp-content/uploads/theplus-addons/theplus-post-2.min.css?ver=1703639133	C:/My%20Web%20Sites/https___spacexsol.xyz/spacexsol.xyz/wp-content/uploads/theplus-addons/theplus-post-2.min874c.css	(from https://spacexsol.xyz/)
02:58:48	43830/43830	---MCZ	200	added ('OK')	text/css	etag:W/%2262d42205-ab36%22	https://spacexsol.xyz/wp-content/plugins/theplus_elementor_addon/assets/css/main/pre-loader/plus-pre-loader.min.css?ver=5.1.0	C:/My%20Web%20Sites/https___spacexsol.xyz/spacexsol.xyz/wp-content/plugins/theplus_elementor_addon/assets/css/main/pre-loader/plus-pre-loader.min0e7d.css	(from https://spacexsol.xyz/)
02:58:49	127491/127491	---MCZ	200	added ('OK')	text/css	etag:W/%2261c3bb09-1f203%22	https://spacexsol.xyz/wp-content/themes/seedlet/style.css?ver=1.2.10-wpcom	C:/My%20Web%20Sites/https___spacexsol.xyz/spacexsol.xyz/wp-content/themes/seedlet/style6338.css	(from https://spacexsol.xyz/)
02:58:49	3892/3892	---MCZ	200	added ('OK')	text/css	etag:W/%2260ffd497-f34%22	https://spacexsol.xyz/wp-content/themes/seedlet/assets/css/print.css?ver=1.2.10-wpcom	C:/My%20Web%20Sites/https___spacexsol.xyz/spacexsol.xyz/wp-content/themes/seedlet/assets/css/print6338.css	(from https://spacexsol.xyz/)
02:58:50	130/130	---MCZ	200	added ('OK')	text/css	etag:W/%2260ffd497-82%22	https://spacexsol.xyz/wp-content/themes/seedlet/assets/css/custom-color-overrides.css?ver=1.2.10-wpcom	C:/My%20Web%20Sites/https___spacexsol.xyz/spacexsol.xyz/wp-content/themes/seedlet/assets/css/custom-color-overrides6338.css	(from https://spacexsol.xyz/)
02:58:50	19571/19571	---MCZ	200	added ('OK')	text/css	etag:W/%2265715260-4c73%22	https://spacexsol.xyz/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.25.0	C:/My%20Web%20Sites/https___spacexsol.xyz/spacexsol.xyz/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min7bb8.css	(from https://spacexsol.xyz/)
02:58:51	117332/117332	---MCZ	200	added ('OK')	text/css	etag:W/%2265715260-1ca54%22	https://spacexsol.xyz/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.18.1	C:/My%20Web%20Sites/https___spacexsol.xyz/spacexsol.xyz/wp-content/plugins/elementor/assets/css/frontend-lite.min110d.css	(from https://spacexsol.xyz/)
02:58:52	12876/12876	---MCZ	200	added ('OK')	text/css	etag:W/%2265715260-324c%22	https://spacexsol.xyz/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min.css?ver=5.3.6	C:/My%20Web%20Sites/https___spacexsol.xyz/spacexsol.xyz/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min48f5.css	(from https://spacexsol.xyz/)
02:58:53	2011/2011	---MCZ	200	added ('OK')	text/css	etag:W/%22654de800-7db%22	https://spacexsol.xyz/wp-content/uploads/elementor/css/post-9.css?ver=1699604480	C:/My%20Web%20Sites/https___spacexsol.xyz/spacexsol.xyz/wp-content/uploads/elementor/css/post-93ca6.css	(from https://spacexsol.xyz/)
02:58:53	9033/9033	---MCZ	200	added ('OK')	text/css	etag:W/%226426ccdb-2349%22	https://spacexsol.xyz/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min.css?ver=3.12.0	C:/My%20Web%20Sites/https___spacexsol.xyz/spacexsol.xyz/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min695d.css	(from https://spacexsol.xyz/)
02:58:54	35641/35641	---MCZ	200	added ('OK')	text/css	etag:W/%22658b785d-8b39%22	https://spacexsol.xyz/wp-content/uploads/elementor/css/post-2.css?ver=1703639133	C:/My%20Web%20Sites/https___spacexsol.xyz/spacexsol.xyz/wp-content/uploads/elementor/css/post-2874c.css	(from https://spacexsol.xyz/)
02:58:55	5534/5534	---MCZ	200	added ('OK')	text/css	etag:W/%2261e6db97-159e%22	https://spacexsol.xyz/wp-content/themes/blank-canvas/style.css?ver=6.4.2	C:/My%20Web%20Sites/https___spacexsol.xyz/spacexsol.xyz/wp-content/themes/blank-canvas/style1e39.css	(from https://spacexsol.xyz/)
02:58:56	57912/57912	---MCZ	200	added ('OK')	text/css	etag:W/%2265715260-e238%22	https://spacexsol.xyz/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	C:/My%20Web%20Sites/https___spacexsol.xyz/spacexsol.xyz/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css	(from https://spacexsol.xyz/)
02:58:57	675/675	---MCZ	200	added ('OK')	text/css	etag:W/%2265715260-2a3%22	https://spacexsol.xyz/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=5.15.3	C:/My%20Web%20Sites/https___spacexsol.xyz/spacexsol.xyz/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min52d5.css	(from https://spacexsol.xyz/)
02:58:59	24/24	---M--	301	error ('Moved%20Permanently')	text/plain	date:Fri,%2029%20Dec%202023%2010:58:59%20GMT	http://spacexsol.xyz/wp-content/plugins/theplus_elementor_addon/assets/js/main/pre-loader/plus-pre-loader-extra-transition.min.js?ver=5.1.0	C:/My%20Web%20Sites/https___spacexsol.xyz/spacexsol.xyz/wp-content/plugins/theplus_elementor_addon/assets/js/main/pre-loader/plus-pre-loader-extra-transition.min0e7d.js	(from https://spacexsol.xyz/)
02:58:59	87553/87553	---MCZ	200	added ('OK')	application/javascript	etag:W/%22654dd106-15601%22	https://spacexsol.xyz/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/My%20Web%20Sites/https___spacexsol.xyz/spacexsol.xyz/wp-includes/js/jquery/jquery.minf43b.js	(from https://spacexsol.xyz/)
02:58:59	13577/13577	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264fda515-3509%22	https://spacexsol.xyz/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/My%20Web%20Sites/https___spacexsol.xyz/spacexsol.xyz/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://spacexsol.xyz/)
02:59:01	24/24	---M--	301	error ('Moved%20Permanently')	text/plain	date:Fri,%2029%20Dec%202023%2010:59:01%20GMT	http://spacexsol.xyz/wp-content/plugins/theplus_elementor_addon/assets/js/main/pre-loader/plus-pre-loader.min.js?ver=5.1.0	C:/My%20Web%20Sites/https___spacexsol.xyz/spacexsol.xyz/wp-content/plugins/theplus_elementor_addon/assets/js/main/pre-loader/plus-pre-loader.min0e7d.js	(from https://spacexsol.xyz/)
